TOA5,CR1000,CR1000,23644,CR1000.Std.16,CPU:ESTACION_CIE_02_SEP_2011.CR1,22874,General,,
TIMESTAMP,RECORD,I_dir_Avg,I_glo_Avg,I_dif_Avg,I_uv_Avg,AirTC_Avg,RH,WS_ms_Avg,CS106_PB_Avg
TS,RN,W/m2,W/m2,W/m2,W/m2,?C,%,m/s,mbar
,51840,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
,,,,,,,,,
01/01/2012 00:00,1,0,0.01,0,0.009,20.14,38.55,1.289,877.6928
01/01/2012 00:10,2,0,0.059,0,0.009,19.88,38.9,1.263,877.9487
01/01/2012 00:20,3,0,0.01,0,0.012,19.46,40.19,1.646,877.8151
01/01/2012 00:30,4,0,0.202,0,0.012,19.32,40.09,1.919,877.7388
01/01/2012 00:40,5,0,0.134,0,0.009,19,40.23,3.11,877.8663
01/01/2012 00:50,6,0,0.131,0,0.008,18.75,40.91,3.179,877.7544
01/01/2012 01:00,7,0.278,0.191,0,0.007,18.71,41.08,3.269,877.7355
01/01/2012 01:10,8,0.336,0.264,0,0.005,18.72,40.5,2.891,877.5028
01/01/2012 01:20,9,0.39,0.274,0,0.004,18.78,40.2,3.134,877.4788
01/01/2012 01:30,10,0.249,0.055,0,0.013,18.52,44.05,3.13,877.5127
01/01/2012 01:40,11,0.03,0.155,0,0.006,18.18,42.25,2.641,877.3447
01/01/2012 01:50,12,0.259,0.215,0,0.01,18.26,41.81,3.151,877.2627
01/01/2012 02:00,13,0.162,0.08,0,0.01,18.02,45.39,3.111,877.1932
01/01/2012 02:10,14,0,0.002,0,0.008,17.49,45.97,1.35,877.2012
01/01/2012 02:20,15,0.251,0.134,0,0.005,17.78,44.77,0.987,877.2911
01/01/2012 02:30,16,0.039,0.002,0,0.006,17.53,47.09,0.844,877.3118
01/01/2012 02:40,17,0.069,0.059,0,0.006,17.2,47.98,1.312,877.305
01/01/2012 02:50,18,0.191,0.213,0,0.002,17.2,44.74,1.753,877.272
01/01/2012 03:00,19,0.379,0.177,0,0.001,17.41,46.85,1.673,877.3549
01/01/2012 03:10,20,0.107,0.223,0,0.003,16.94,46.96,2.471,877.3707
01/01/2012 03:20,21,0.14,0.163,0,0.006,16.78,50.74,2.848,877.4767
01/01/2012 03:30,22,0.227,0.277,0,0.001,16.55,47.64,2.871,877.4697
01/01/2012 03:40,23,0.401,0.324,0,0.003,16.84,47.26,2.476,877.7139
01/01/2012 03:50,24,0.401,0.292,0,0.002,16.88,46.82,2.158,877.6902
01/01/2012 04:00,25,1.107,0.351,0,0.005,17.36,44.74,2.581,877.7303
01/01/2012 04:10,26,0.952,0.3,0,0.01,17.53,45.8,2.636,877.8296
01/01/2012 04:20,27,0.377,0.12,0,0.003,17.35,45.08,2.319,877.804
01/01/2012 04:30,28,0.203,0.178,0,0.002,17.31,44.98,2.339,877.9937
01/01/2012 04:40,29,0.199,0.189,0,0,17.12,45.52,2.386,878.001
01/01/2012 04:50,30,0.157,0.102,0,0.001,17.08,47.84,2.408,878.1321
01/01/2012 05:00,31,0,0.013,0,0.001,16.19,51.9,2.929,878.2783
01/01/2012 05:10,32,0.026,0.102,0,0.001,15.8,51.42,3.208,878.3048
01/01/2012 05:20,33,0.52,0.211,0,0.004,16.36,50.06,2.694,878.4268
01/01/2012 05:30,34,0,0.136,0,0.004,15.78,51.42,3.215,878.4182
01/01/2012 05:40,35,0.213,0.147,0,0.003,15.87,51.73,3.545,878.549
01/01/2012 05:50,36,0.496,0.253,0.001,0.003,16.2,51.29,3.298,878.6636
01/01/2012 06:00,37,0,0.042,0,0.002,15.7,52.38,3.311,878.6152
01/01/2012 06:10,38,0.352,0.23,0,0.001,16.04,50.5,2.578,878.8361
01/01/2012 06:20,39,0.257,0.274,0,0.003,16.18,51.63,2.696,878.9505
01/01/2012 06:30,40,0,0,0,0.004,15.52,52.58,1.355,879.0814
01/01/2012 06:40,41,0,0.016,0,0.008,15.63,53.67,0.717,879.1304
01/01/2012 06:50,42,0,0.145,0.001,0.016,15.09,53.78,1.894,879.171
01/01/2012 07:00,43,0,0.597,0.304,0.024,15.1,53.95,1.833,879.1799
01/01/2012 07:10,44,0,2.974,2.398,0.132,15.09,55.07,2.439,879.3679
01/01/2012 07:20,45,0.475,8.56,7.383,0.442,15.18,54.29,2.534,879.5806
01/01/2012 07:30,46,53.02,24.06,17.07,1.012,15.09,54.63,1.825,879.8101
01/01/2012 07:40,47,136.8,47.16,27.59,1.772,15.34,53.84,0.258,880.0797
01/01/2012 07:50,48,207.9,68.78,43.85,2.119,15.36,55.38,1.338,880.1705
