TOA5,ESOLMET-CIE,CR1000,23644,CR1000.Std.16,CPU:ESTACION_CIE_17_AGO_2012.CR1,38968,General,,,,,
TIMESTAMP,RECORD,I_dir_Avg,I_glo_Avg,I_dif_Avg,I_uv_Avg,AirTC_Avg,RH,WS_ms_Avg,CS106_PB_Avg,,,
TS,RN,W/m2,W/m2,W/m2,W/m2,?C,%,m/s,mbar,,,
,,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg,,,
01/01/2013 0:00,13707,0.401,0.002,0.297,0.006,20.14,44.9,1.55,876.6197,,,
01/01/2013 0:10,13708,0.401,0.018,0.315,0.008,20.12,45.44,1.935,876.7105,,,
01/01/2013 0:20,13709,0.401,0,0.261,0.008,19.93,46.33,1.919,876.6934,,,
01/01/2013 0:30,13710,0.065,0,0.043,0.008,19.62,46.29,1.197,876,,,
01/01/2013 0:40,13711,0.321,0,0.013,0.006,19.83,45.95,0.527,876.6533,,,
01/01/2013 0:50,13712,0.382,0,0.123,0.006,19.8,46.53,0.345,876.5795,,,
01/01/2013 1:00,13713,0.144,0.001,0.324,0.006,19.54,47.38,1.48,876.6529,,,
01/01/2013 1:10,13714,0.002,0,0.187,0.007,19.19,49.87,1.763,876.6533,,,
01/01/2013 1:20,13715,0,0,0.098,0.006,18.62,51.03,1.793,876.6776,,,
01/01/2013 1:30,13716,0.084,0,0.114,0.006,18.4,50.69,2.454,876.6613,,,
01/01/2013 1:40,13717,0.141,0,0.024,0.004,18.35,50.93,2.06,876.6531,,,
01/01/2013 1:50,13718,0.075,0,0.013,0.006,18.17,52.29,1.951,876.5303,,,
01/01/2013 2:00,13719,0.141,0,0.164,0.005,18.06,51.2,1.973,876.5139,,,
01/01/2013 2:10,13720,0.053,0,0,0,17.87,52.84,2.425,876,,,
01/01/2013 2:20,13721,0.123,0,0.091,0,17.78,53.08,2.144,876.3455,,,
01/01/2013 2:30,13722,0.215,0,0.073,0.003,17.65,53.86,2.364,876.3154,,,
01/01/2013 2:40,13723,0.754,0,0.148,0.003,17.81,51.99,2.438,876.2264,,,
01/01/2013 2:50,13724,0.781,0,0.08,0.006,17.89,54.24,2.571,876.2054,,,
01/01/2013 3:00,13725,0.2,0,0.096,0.004,17.47,53.59,2.491,876.0566,,,
01/01/2013 3:10,13726,0.387,0,0,0.005,17.55,54.24,2.455,875.9005,,,
01/01/2013 3:20,13727,0.708,0,0.147,0.003,17.79,52.23,2.306,875.98,,,
01/01/2013 3:30,13728,0.875,0,0.035,0.004,18.06,52.3,1.655,875.9002,,,
01/01/2013 3:40,13729,0.576,0,0.02,0.003,18.11,52.2,1.286,875.954,,,
01/01/2013 3:50,13730,0.385,0,0,0.006,17.94,52.33,1.178,875.9182,,,
01/01/2013 4:00,13731,0.401,0,0.17,0.005,18.11,51.24,1.273,875.8732,,,
01/01/2013 4:10,13732,0.399,0,0.001,0.005,17.99,51.96,0.905,875.8361,,,
01/01/2013 4:20,13733,0.27,0,0,0.006,17.8,53.22,1.277,875.8058,,,
01/01/2013 4:30,13734,0.215,0,0,0.006,17.55,54.65,1.718,875.8271,,,
01/01/2013 4:40,13735,0,0,0.006,0.005,16.97,55.95,2.354,875.7821,,,
01/01/2013 4:50,13736,0.043,0,0.068,0.004,16.76,55.95,2.14,875.7206,,,
01/01/2013 5:00,13737,0.324,0.001,0.143,0.006,17.05,55.2,2.066,875.5978,,,
01/01/2013 5:10,13738,0.229,0,0.003,0.005,16.76,56.54,1.96,875.7228,,,
01/01/2013 5:20,13739,0.084,0,0.003,0.004,16.44,56.88,2.263,875.748,,,
01/01/2013 5:30,13740,0.264,0,0.024,0.005,16.55,57.08,2.31,875.7335,,,
01/01/2013 5:40,13741,0.291,0,0.138,0.004,16.38,56.74,2.093,875.5914,,,
01/01/2013 5:50,13742,0.345,0,0.113,0.002,16.38,57.7,1.638,875.5991,,,
01/01/2013 6:00,13743,0.076,0,0.001,0.004,16.19,58.65,1.385,875.6835,,,
01/01/2013 6:10,13744,0,0,0.206,0.003,15.89,59.71,1.609,875.6846,,,
01/01/2013 6:20,13745,0,0,0.129,0.005,15.56,61.04,2.264,875.6763,,,
01/01/2013 6:30,13746,0.051,0,0.088,0.004,15.36,60.94,2.394,875.6193,,,
01/01/2013 6:40,13747,0.502,0.001,0.326,0.006,15.85,58.76,2.251,875.6029,,,
01/01/2013 6:50,13748,0.593,0,0.266,0.004,16.06,58.14,2.558,875.7418,,,
01/01/2013 7:00,13749,0.711,0,0.167,0.004,16.19,58.07,2.538,875.6611,,,
01/01/2013 7:10,13750,0.149,0,0.038,0.003,15.9,58.89,2.72,875.8403,,,
