TOA5,ESOLMET-IER,CR1000,23644,CR1000.Std.16,CPU:ESTACION_IER_07_MZO_2017.CR1,44971,TablaGeneral,,
TIMESTAMP,RECORD,I_dir_Avg,I_glo_Avg,I_dif_Avg,I_uv_Avg,AirTC_Avg,RH,WS_ms_Avg,CS106_PB_Avg
TS,RN,W/m2,W/m2,W/m2,W/m2,?C,%,m/s,mbar
,,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
,,,,,,,,,
01/01/2017 00:00,1,0.301,0,0.097,0.001,19.29,NAN,0,876.2795
01/01/2017 00:10,2,0.479,0,0.26,0.002,19.23,NAN,0.697,876.3535
01/01/2017 00:20,3,0.502,0.181,0.325,0.003,19.31,NAN,1.071,876.5165
01/01/2017 00:30,4,0.084,0.124,0.312,0.004,18.92,NAN,2.189,876.4664
01/01/2017 00:40,5,0,0,0.001,0.004,18.06,NAN,2.251,876.4193
01/01/2017 00:50,6,0,0,0.188,0.002,17.92,NAN,2.628,876.5576
01/01/2017 01:00,7,0.018,0.09,0.281,0.003,18.17,NAN,2.243,876.4583
01/01/2017 01:10,8,0.013,0.001,0.185,0.003,18.1,NAN,2.176,876.5341
01/01/2017 01:20,9,0,0.006,0.11,0.004,17.78,NAN,2.489,876.4913
01/01/2017 01:30,10,0,0.077,0.203,0.002,17.72,NAN,2.533,876.6142
01/01/2017 01:40,11,0.192,0.07,0.325,0.003,18.03,NAN,2.326,876.533
01/01/2017 01:50,12,0.19,0.093,0.186,0.004,17.97,NAN,2.306,876.5734
01/01/2017 02:00,13,0.379,0.21,0.162,0.003,18.26,NAN,1.182,876.493
01/01/2017 02:10,14,0.247,0.342,0.235,0.003,18.21,NAN,1.287,876.7776
01/01/2017 02:20,15,0.242,0.232,0.256,0.004,18.35,NAN,1.938,876.5573
01/01/2017 02:30,16,0.021,0.001,0.069,0.004,17.84,NAN,1.878,876.3928
01/01/2017 02:40,17,0.001,0.078,0.194,0.003,18.11,NAN,2.044,876.2393
01/01/2017 02:50,18,0.018,0.004,0.05,0.002,18.07,NAN,0.725,876.1315
01/01/2017 03:00,19,0.287,0.265,0.018,0.002,18.32,NAN,1.211,876.3943
01/01/2017 03:10,20,0.378,0.268,0.323,0.003,18.3,NAN,1.751,876.2546
01/01/2017 03:20,21,0.317,0.182,0.199,0.003,18.25,NAN,1.814,876.2627
01/01/2017 03:30,22,0.019,0.098,0.218,0.003,18.13,NAN,1.597,876.2874
01/01/2017 03:40,23,0,0.027,0.324,0.002,18.22,NAN,1.738,876.1557
01/01/2017 03:50,24,0.122,0.084,0.324,0.003,18.33,NAN,1.8,875.9517
01/01/2017 04:00,25,0.002,0.002,0.307,0.002,18.16,NAN,1.726,875.8871
01/01/2017 04:10,26,0,0.013,0.257,0.003,18.19,NAN,2.009,876.1248
01/01/2017 04:20,27,0,0,0.154,0.003,17.73,NAN,2.15,876.3283
01/01/2017 04:30,28,0,0,0.324,0.002,17.65,NAN,1.978,876.3937
01/01/2017 04:40,29,0,0,0.325,0.003,17.8,NAN,1.948,876.4838
01/01/2017 04:50,30,0,0,0.197,0.003,17.54,NAN,1.738,876.5573
01/01/2017 05:00,31,0,0,0.32,0.002,17.49,NAN,1.988,876.5001
01/01/2017 05:10,32,0,0,0.308,0.002,17.59,NAN,1.95,876.459
01/01/2017 05:20,33,0,0,0.195,0.002,17.27,NAN,2.191,876.5743
01/01/2017 05:30,34,0,0,0.303,0.003,17.24,NAN,2.531,876.7537
01/01/2017 05:40,35,0,0,0.091,0.004,16.82,NAN,2.384,876.7559
01/01/2017 05:50,36,0,0,0.14,0.002,16.45,NAN,2.48,877.0334
01/01/2017 06:00,37,0,0,0.237,0.003,16.45,NAN,2.668,877.0321
01/01/2017 06:10,38,0,0,0.325,0.003,16.57,NAN,2.528,876.8806
01/01/2017 06:20,39,0.001,0,0.294,0.003,16.58,NAN,2.589,877.0773
01/01/2017 06:30,40,0,0,0.021,0.002,16.02,NAN,2.549,877.0342
01/01/2017 06:40,41,0,0,0.044,0.002,15.58,NAN,2.46,877.0609
01/01/2017 06:50,42,0,0.057,0.263,0.008,15.96,NAN,2.075,877.1108
01/01/2017 07:00,43,0.248,0.352,0.229,0.019,15.73,NAN,1.303,877.3358
01/01/2017 07:10,44,0.203,1.922,1.677,0.064,15.61,NAN,1.415,877.5066
01/01/2017 07:20,45,0.753,6.833,6.04,0.244,15.81,NAN,1.371,877.5942
01/01/2017 07:30,46,48.37,20.74,14.72,0.579,15.51,NAN,2.006,877.8749
01/01/2017 07:40,47,109.3,38.29,23.75,1.054,15.66,NAN,1.955,877.763
