TOA5,ESOLMET-IER,CR1000,23644,CR1000.Std.16,44971,TablaGeneral,,
TIMESTAMP,RECORD,I_dir_Avg,I_glo_Avg,I_dif_Avg,AirTC_Avg,RH,WS_ms_Avg,CS106_PB_Avg
TS,RN,W/m2,W/m2,W/m2,?C,%,m/s,mbar
,,Avg,Avg,Avg,Avg,Smp,Avg,Avg
,,,,,,,,
01/01/2020 00:00,34485,0.286,0,0,21.21,60.35,0.719,877.138
01/01/2020 00:10,34486,0,0,0,20.86,61.03,0.697,877.0807
01/01/2020 00:20,34487,0.042,0,0,20.84,61.65,1.486,877.0634
01/01/2020 00:30,34488,0,0,0,20.57,62.7,1.766,876.8109
01/01/2020 00:40,34489,0,0,0,20.29,64.07,1.665,877.0735
01/01/2020 00:50,34490,0,0,0,19.95,65.12,1.676,876.9662
01/01/2020 01:00,34491,0.149,0,0,19.93,65.33,1.674,877.1953
01/01/2020 01:10,34492,0.118,0,0,19.82,65.84,2.039,876.8752
01/01/2020 01:20,34493,0.058,0,0,19.44,68.84,1.778,876.8774
01/01/2020 01:30,34494,0.005,0,0,18.97,68.9,2.51,877.1953
01/01/2020 01:40,34495,0.001,0,0,18.97,67.98,2.35,877.1707
01/01/2020 01:50,34496,0,0,0,18.81,70.06,2.294,877.097
01/01/2020 02:00,34497,0.221,0,0,19.06,64.78,2.231,877.1135
01/01/2020 02:10,34498,0.165,0,0,19.12,70.85,2.63,877.0233
01/01/2020 02:20,34499,0.01,0,0,18.39,69.72,2.559,877.048
01/01/2020 02:30,34500,0.123,0,0,18.23,68.87,2.068,877.0317
01/01/2020 02:40,34501,0.141,0,0,18.51,69.55,2.643,876.8678
01/01/2020 02:50,34502,0.019,0,0,18.28,69.59,1.639,876.639
01/01/2020 03:00,34503,0.011,0,0,18.28,71.15,1.427,876.7615
01/01/2020 03:10,34504,0.039,0,0,17.99,71.53,1.621,876.7457
01/01/2020 03:20,34505,0.259,0,0,18,71.05,2.543,876.7122
01/01/2020 03:30,34506,0.242,0,0,18.01,71.84,2.476,876.541
01/01/2020 03:40,34507,0.017,0,0,17.57,72.21,1.838,876.4754
01/01/2020 03:50,34508,0.014,0,0,17.43,72.14,1.718,876.361
01/01/2020 04:00,34509,0,0,0,17.12,74.12,1.896,876.4754
01/01/2020 04:10,34510,0.098,0,0,17.02,72.52,2.055,876.2627
01/01/2020 04:20,34511,0.085,0,0,16.95,72.96,2.09,876.361
01/01/2020 04:30,34512,0.209,0,0,16.99,73.03,2.219,876.3447
01/01/2020 04:40,34513,0.098,0,0,16.88,73.61,2.466,876.2056
01/01/2020 04:50,34514,0.193,0,0,16.83,71.56,2.406,876.3121
01/01/2020 05:00,34515,0.229,0,0,17.07,72.72,2.545,876.4186
01/01/2020 05:10,34516,0.201,0,0,16.99,73.1,2.804,876.6884
01/01/2020 05:20,34517,0.039,0,0,16.72,72.07,2.23,876.5909
01/01/2020 05:30,34518,0.087,0,0,16.61,74.19,2.429,876.8762
01/01/2020 05:40,34519,0.115,0,0,16.47,73.44,2.325,876.7161
01/01/2020 05:50,34520,0.148,0,0,16.5,73.61,2.003,876.818
01/01/2020 06:00,34521,0.181,0,0,16.57,72.14,1.884,876.8467
01/01/2020 06:10,34522,0.209,0,0,16.62,73.54,2.384,876.9246
01/01/2020 06:20,34523,0.074,0,0,16.27,76.37,2.553,876.8103
01/01/2020 06:30,34524,0.046,0,0,15.93,75.28,2.509,876.7199
01/01/2020 06:40,34525,0.238,0,0,16.06,75.28,2.62,876.8116
01/01/2020 06:50,34526,0.315,0,0,16.07,75.66,2.718,876.8975
01/01/2020 07:00,34527,0.278,0,0,15.99,74.37,2.838,876.9477
01/01/2020 07:10,34528,0.328,0,0.001,16.18,73.75,2.976,877.0426
01/01/2020 07:20,34529,0.306,2.102,1.77,16.24,75.73,2.363,877.2073
01/01/2020 07:30,34530,2.627,7.446,6.27,16.03,75.39,1.838,877.2466
01/01/2020 07:40,34531,88.9,23.37,13.12,15.91,75.42,1.767,877.3227
01/01/2020 07:50,34532,293,61.66,21.01,16.2,73.04,1.017,877.5137
01/01/2020 08:00,34533,411.7,97.3,27.77,17.02,70.99,1.108,877.6588
01/01/2020 08:10,34534,483,131.3,32.55,17.27,70.54,1.42,877.7903
01/01/2020 08:20,34535,534.1,165.3,36.71,17.6,68.43,0.886,877.7204
01/01/2020 08:30,34536,578.8,201.8,40.16,18.43,64.54,0.038,878.041
01/01/2020 08:40,34537,615.3,241.9,43.31,19.6,63.79,0,878.2769
01/01/2020 08:50,34538,642.3,282.3,47.41,20.06,60.01,0.014,878.3247
01/01/2020 09:00,34539,663.9,319.2,50.72,21.03,56.23,0.071,878.5199
01/01/2020 09:10,34540,623.5,331.5,54.88,22.22,53.84,0.377,878.5951
01/01/2020 09:20,34541,650.7,372.7,57.37,22.92,53.57,0.498,878.4842
01/01/2020 09:30,34542,719.4,424.3,58.2,23.46,53.02,0.858,878.2353
01/01/2020 09:40,34543,743.2,458.6,59.64,23.63,52.65,0.701,878.3076
01/01/2020 09:50,34544,752.3,486.6,61.47,23.84,52.65,0.804,878.2968
01/01/2020 10:00,34545,765.5,516,63.08,24.22,50.6,1.167,878.0218
01/01/2020 10:10,34546,774.7,541.6,64.18,24.15,49.54,1.604,878.2923
01/01/2020 10:20,34547,779.2,561.6,66.61,24.32,48.9,1.254,878.0108
01/01/2020 10:30,34548,797.4,584.7,68.27,24.55,51.08,2.034,877.983
01/01/2020 10:40,34549,798.6,591.4,71.15,24.38,49.58,1.876,877.9775
01/01/2020 10:50,34550,798.3,588.5,74.12,24.57,50.81,1.919,877.9001
01/01/2020 11:00,34551,792.9,579.5,77.75,24.21,50.4,2.502,877.757
01/01/2020 11:10,34552,792,566.7,82.3,24.27,50.5,2.54,877.75
01/01/2020 11:20,34553,803,553,82.3,24.38,49.61,2.304,877.8945
01/01/2020 11:30,34554,817,539.7,82.2,23.74,51.73,2.791,877.5753
01/01/2020 11:40,34555,834,522.6,79.33,24.49,48.55,2.156,877.5802
01/01/2020 11:50,34556,826,498,80.4,25.96,44.81,1.039,877.2416
01/01/2020 12:00,34557,825,483.7,80.4,26.07,46.44,1.889,877.208
01/01/2020 12:10,34558,834,472.4,79.52,26.28,44.6,1.82,876.7662
01/01/2020 12:20,34559,847,465.7,77.45,26.15,44.08,1.271,876.777
01/01/2020 12:30,34560,843,456.9,77.76,26.28,44.16,1.4,876.4
01/01/2020 12:40,34561,830,448.2,78.82,26.56,43.23,1.972,876.3865
01/01/2020 12:50,34562,841,450.6,77.43,26.63,43.78,1.916,876.0291
01/01/2020 13:00,34563,849,452.5,75.94,27.14,41.29,2.332,875.8865
01/01/2020 13:10,34564,849,455.2,75.04,27.45,39.38,2.096,875.6771
01/01/2020 13:20,34565,854,463.5,73.91,27.46,40.4,1.952,875.5108
01/01/2020 13:30,34566,851,470.5,72.25,27.49,39.96,1.649,875.1788
01/01/2020 13:40,34567,854,488,73.07,27.35,40.3,2.404,874.791
01/01/2020 13:50,34568,844,497.4,71.88,27.56,41.43,2.829,874.2991
01/01/2020 14:00,34569,831,513.7,74.38,27.01,41.02,2.19,874.248
01/01/2020 14:10,34570,808,542.9,96.6,27.83,39.42,1.892,873.8705
01/01/2020 14:20,34571,823,570.7,94.4,28.21,38.73,2.442,873.7292
01/01/2020 14:30,34572,814,571.8,77.3,28.08,39.45,2.482,873.731
01/01/2020 14:40,34573,783.3,576.8,82.4,28.27,39.76,2.624,873.4821
01/01/2020 14:50,34574,789.7,589.3,80.1,28.22,38.73,1.231,873.5437
01/01/2020 15:00,34575,779,582,73.64,29.13,37.75,1.798,873.0925
01/01/2020 15:10,34576,764.8,572.9,74.67,29.25,37.92,2.129,873.3248
01/01/2020 15:20,34577,778.7,570.6,71,28.63,39.01,2.478,873.2293
01/01/2020 15:30,34578,784.5,553.1,65.39,29.05,37.61,2.399,873.1913
01/01/2020 15:40,34579,782.9,531.4,61.15,28.4,39.93,3.634,872.8514
01/01/2020 15:50,34580,752.7,493.5,62.19,28.35,38.32,2.521,872.8166
01/01/2020 16:00,34581,742.1,468.7,62.34,28.36,37.24,2.85,872.7824
01/01/2020 16:10,34582,720.3,435.7,62.39,28.73,36.66,3.174,872.6623
01/01/2020 16:20,34583,697.8,403.8,60.92,28.22,39.18,4.614,872.8425
01/01/2020 16:30,34584,470.5,283.4,62.1,28.04,38.05,3.445,872.5928
01/01/2020 16:40,34585,599.7,310.5,57.96,28.24,37.85,3.882,872.6442
01/01/2020 16:50,34586,615.7,285.8,52.79,28.28,37.07,2.856,872.8214
01/01/2020 17:00,34587,605,248.9,46.19,28.85,36.66,2.631,872.9562
01/01/2020 17:10,34588,571.1,209.3,43.3,28.9,36.28,2.389,872.6716
01/01/2020 17:20,34589,501.4,163.6,36.66,28.32,37.41,2.876,872.8177
01/01/2020 17:30,34590,65.1,52.69,31.36,27.77,39.35,3.139,872.717
01/01/2020 17:40,34591,2.145,33.72,27.12,27.1,39.9,3.149,872.8433
01/01/2020 17:50,34592,28.13,26.98,20.3,26.94,40.44,2.959,873.0352
01/01/2020 18:00,34593,61.6,22.48,14.28,26.92,40.61,2.331,873.1241
01/01/2020 18:10,34594,6.181,9.05,7.069,26.66,41.84,1.951,873.432
01/01/2020 18:20,34595,0,1.18,0.82,26.42,42.45,1.965,873.5285
01/01/2020 18:30,34596,0,0,0,26.24,43.3,1.18,873.5339
01/01/2020 18:40,34597,0,0,0,26.03,44.19,0.345,873.7584
01/01/2020 18:50,34598,0,0,0,25.72,44.88,0.301,873.7576
01/01/2020 19:00,34599,0,0,0,25.6,45.32,0.772,873.8759
01/01/2020 19:10,34600,0,0,0,25.41,45.73,1.321,873.7377
01/01/2020 19:20,34601,0,0,0,25.11,47.3,1.771,873.7713
01/01/2020 19:30,34602,0,0,0,24,50.16,2.238,873.9428
01/01/2020 19:40,34603,0,0,0,23.73,53.23,2.09,874.0688
01/01/2020 19:50,34604,0,0,0,23.36,49,1.906,874.023
01/01/2020 20:00,34605,0,0,0,23.68,48.18,1.934,874.167
01/01/2020 20:10,34606,0.007,0,0,23.39,48.59,1.511,874.4485
01/01/2020 20:20,34607,0.229,0,0,23.29,48.83,1.019,874.524
01/01/2020 20:30,34608,0.27,0,0,23.23,49.41,1.474,874.7724
01/01/2020 20:40,34609,0.035,0,0,23.14,49.48,1.813,874.7086
