TOA5,ESOLMET-CR1000,23644,CR1000.Std.16,CPU:2021-05-21-ESOLMET-CR1000.CR1,25840,,,,
TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Avg,AirTC_Avg,RH_Avg,WS_ms_Avg,CS106_PB_Avg,Rain_mm_Tot
TS,RN,W/m2,W/m2,W/m2,°C,%,m/s,mbar,mm
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Tot
,,,,,,,,,
01/01/2021 00:00,1,0,0.213,0,15.66,42.16,2.214,875.5172,-
01/01/2021 00:10,2,0,0.188,0,15.67,41.85,2.429,875.4602,-
01/01/2021 00:20,3,0,0.104,0,15.88,41.29,1.421,875.3776,-
01/01/2021 00:30,4,0,0.077,0,15.75,42.22,1.057,875.2963,-
01/01/2021 00:40,5,0,0,0,15.41,43.7,0.473,875.3045,-
01/01/2021 00:50,6,0,0,0,15.08,44.77,0.583,875.3372,-
01/01/2021 01:00,7,0,0.032,0,15.1,44.79,1.308,875.3455,-
01/01/2021 01:10,8,0,0,0,14.7,46.41,1.062,875.3727,-
01/01/2021 01:20,9,0,0,0,14.08,48.58,1.595,875.3311,-
01/01/2021 01:30,10,0,0,0,13.71,50.23,1.601,875.1293,-
01/01/2021 01:40,11,0,0.024,0,13.85,50.22,0.96,875.0205,-
01/01/2021 01:50,12,0,0,0,13.52,52.24,1.531,875.1105,-
01/01/2021 02:00,13,0,0.083,0,13.62,52.21,1.474,875.0233,-
01/01/2021 02:10,14,0,0.045,0,13.64,52.8,1.628,874.9515,-
01/01/2021 02:20,15,0,0.028,0,13.56,53.64,1.411,874.7596,-
01/01/2021 02:30,16,0,0.141,0,13.83,52.79,1.178,874.8679,-
01/01/2021 02:40,17,0,0.002,0,13.63,53.89,1.078,874.9473,-
01/01/2021 02:50,18,0,0,0,13.33,55.36,1.285,874.8845,-
01/01/2021 03:00,19,0,0.11,0,13.23,55.63,1.815,875.0883,-
01/01/2021 03:10,20,0,0,0,12.57,58.77,2.109,874.939,-
01/01/2021 03:20,21,0,0.188,0,12.75,57.74,2.561,874.9481,-
01/01/2021 03:30,22,0,0.024,0,12.89,57.62,1.488,874.7347,-
01/01/2021 03:40,23,0,0.05,0,12.89,57.42,1.372,875.1549,-
01/01/2021 03:50,24,0,0,0,12.74,58.47,1.844,875.0971,-
01/01/2021 04:00,25,0,0.009,0,12.64,58.9,0.826,875.0476,-
01/01/2021 04:10,26,0,0.296,0,13.01,57.15,1.341,875.3127,-
01/01/2021 04:20,27,0,0.011,0,13.01,57.57,0.332,875.2822,-
01/01/2021 04:30,28,0,0.266,0,12.91,58.32,1.714,875.4614,-
01/01/2021 04:40,29,0,0.388,0,13.13,57.96,1.761,875.3378,-
01/01/2021 04:50,30,0,0.056,0,12.64,59.95,1.963,875.5737,-
01/01/2021 05:00,31,0,0,0,12.23,61.93,1.724,875.796,-
01/01/2021 05:10,32,0,0.045,0,12.1,63,1.581,875.9243,-
01/01/2021 05:20,33,0,0.055,0,11.94,64.16,2.361,875.6984,-
01/01/2021 05:30,34,0,0.142,0,12.12,63.51,1.266,875.9938,-
01/01/2021 05:40,35,0,0.066,0,11.76,64.96,2.029,875.9071,-
01/01/2021 05:50,36,0,0.068,0,11.68,65.18,2.225,876.1169,-
01/01/2021 06:00,37,0,0,0,11.54,65.76,1.337,876.3649,-
01/01/2021 06:10,38,0,0,0,11.56,65.72,0.864,876.4409,-
01/01/2021 06:20,39,0,0,0,11.53,65.74,0.921,876.6649,-
01/01/2021 06:30,40,0,0.218,0,11.31,66.31,1.508,876.6514,-
01/01/2021 06:40,41,0,0.367,0,11.34,65.68,2.211,876.3496,-
01/01/2021 06:50,42,0,0.043,0,11.22,66.32,1.866,876.2939,-
01/01/2021 07:00,43,0,0,0,11.07,67.5,1.408,876.7425,-
01/01/2021 07:10,44,0.135,0.074,0.129,10.63,69.3,1.645,876.4497,-
01/01/2021 07:20,45,4.603,0.394,4.356,10.5,69.7,2.508,877.0859,-
01/01/2021 07:30,46,25.79,159.1,12.42,10.85,68.07,2.509,876.7264,-
01/01/2021 07:40,47,58.66,342.7,19.17,10.94,67.53,2.879,876.8017,-
01/01/2021 07:50,48,93.1,451.4,24.37,11.04,67.84,2.211,877.3397,-
01/01/2021 08:00,49,128.2,536,29.36,12.02,63.65,2.041,877.5115,-
01/01/2021 08:10,50,169.7,605.5,33.92,13.23,58.82,1.469,877.4872,-
01/01/2021 08:20,51,212.1,662.1,36.7,13.72,57.35,0.843,877.9092,-
01/01/2021 08:30,52,251.4,702.3,38.99,14.42,55.64,1.053,878.1115,-
01/01/2021 08:40,53,282.4,733.6,41.34,15.12,53.77,0.259,878.2624,-
01/01/2021 08:50,54,302.4,765.6,43.26,16.43,48.94,0.1,878.3981,-
01/01/2021 09:00,55,313.3,789,45.79,17.29,43.96,0.893,878.4879,-
01/01/2021 09:10,56,321.3,810,47.08,17.81,41.88,0.829,878.5151,-
01/01/2021 09:20,57,329.8,829,48.62,18.77,40.25,0.318,878.7149,-
01/01/2021 09:30,58,336,843,49.9,19.67,38.56,0.443,878.915,-
01/01/2021 09:40,59,338.5,857,51.53,19.56,39.15,0.799,879.1506,-
01/01/2021 09:50,60,338,874,52.16,20.58,38.68,0.616,878.8967,-
01/01/2021 10:00,61,335.2,884,53.38,20.99,38.54,1.233,878.9039,-
01/01/2021 10:10,62,331.7,894,55.7,20.58,40.17,1.371,879.0691,-
01/01/2021 10:20,63,326.3,898,57.53,21.14,39.62,0.769,878.9204,-
01/01/2021 10:30,64,327.4,906,58.02,21.53,39.88,1.224,878.7667,-
01/01/2021 10:40,65,336.7,914,59.61,21.23,40.3,1.504,878.9938,-
01/01/2021 10:50,66,349.6,923,59.85,21.86,38.92,1.334,878.3984,-
