TOA5,,23644,CR1000.Std.16,CPU:ESTACION_CIE_ver36.CR1,24662,General,,,
TIMESTAMP,RECORD,I_dir_Avg,I_glo_Avg,I_dif_Avg,I_uv_Avg,AirTC_Avg,RH,WS_ms_Avg,CS106_PB_Avg
TS,,W/m2,W/m2,W/m2,W/m2,Deg C,%,meters/second,mbar
,,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg
01/01/2010 00:00,1,0,0,0.31,0.001,21.05,47.4,0.838,877.0593
01/01/2010 00:10,2,0,0,0.158,0,21.04,48.7,0.813,876.9949
01/01/2010 00:20,3,0,0.025,0.001,0.001,20.85,47.54,1.017,877.0591
01/01/2010 00:30,4,0,0,0,0.001,21.25,48.29,1.514,877.0186
01/01/2010 00:40,5,0,0,0,0.002,20.65,47.98,1.743,876.9619
01/01/2010 00:50,6,0,0,0,0.004,20.23,54.22,2.566,877.0103
01/01/2010 01:00,7,0,0,0,0.001,19.56,50.3,2.593,876.8629
01/01/2010 01:10,8,0,0.002,0,0.001,19.49,53.23,2.66,876.9618
01/01/2010 01:20,9,0,0,0.016,0.002,19.34,47.67,2.494,876.9128
01/01/2010 01:30,10,0,0,0,0.005,20.3,50.54,1.769,876.9285
01/01/2010 01:40,11,0,0,0,0,18.93,52.75,2.021,876.8311
01/01/2010 01:50,12,0,0,0,0.001,19.02,50.84,1.116,876.9285
01/01/2010 02:00,13,0,0,0,0.002,18.92,54.46,1.996,877.0842
01/01/2010 02:10,14,0,0,0.004,0.001,18.72,52.65,1.925,876.9203
01/01/2010 02:20,15,0,0.006,0,0.001,18.74,50.37,1.621,877.0765
01/01/2010 02:30,16,0,0,0,0.002,18.71,54.02,1.078,877.084
01/01/2010 02:40,17,0,0,0,0.001,18.09,55.24,0.313,877.0435
01/01/2010 02:50,18,0,0,0,0,17.67,57.63,0.987,877.0672
01/01/2010 03:00,19,0,0,0.076,0,18.01,51.12,2.485,877.0115
01/01/2010 03:10,20,0.064,0.012,0.054,0.001,18.54,50.5,2.269,877.0106
01/01/2010 03:20,21,0.085,0.005,0.026,0.002,18.72,54.39,1.819,876.9288
01/01/2010 03:30,22,0,0,0,0.001,17.88,55.45,1.989,876.8794
01/01/2010 03:40,23,0,0,0,0.001,18.04,56.71,2.183,876.8547
01/01/2010 03:50,24,0,0,0,0.001,17.81,55,2.368,876.749
01/01/2010 04:00,25,0,0,0,0,17.89,58.79,2.559,877.019
01/01/2010 04:10,26,0,0,0,0,17.55,57.39,2.515,876.9618
01/01/2010 04:20,27,0,0,0.002,0,17.55,55.75,2.87,877.0269
01/01/2010 04:30,28,0.062,0,0,0,18.2,55.31,2.654,876.9121
01/01/2010 04:40,29,0.286,0,0,0,18.5,51.18,2.459,877.1169
01/01/2010 04:50,30,0.215,0,0,0,19.02,53.44,1.576,877.076
01/01/2010 05:00,31,0,0,0,0,18.26,55.55,2.656,877.1422
01/01/2010 05:10,32,0,0,0,0,18.61,53.37,1.632,877.24
01/01/2010 05:20,33,0,0,0,0,18.03,58.14,0.243,877.3542
01/01/2010 05:30,34,0,0,0,0,17.4,58.65,1.633,877.4201
01/01/2010 05:40,35,0,0,0.001,0,17.63,53.81,2.09,877.6324
01/01/2010 05:50,36,0,0,0,0,17.71,55.69,2.39,877.5779
01/01/2010 06:00,37,0,0,0,0,17.55,55.38,2.755,877.4898
01/01/2010 06:10,38,0.276,0,0.004,0,18.24,52.99,1.959,877.3716
01/01/2010 06:20,39,0.178,0,0,0.001,18.35,51.56,2.349,877.5922
01/01/2010 06:30,40,0.179,0.035,0.04,0.002,19.18,49.31,1.184,877.7394
01/01/2010 06:40,41,0.018,0.005,0.008,0.003,18.8,53.13,1.67,877.903
01/01/2010 06:50,42,0,0.108,0.008,0.007,18.77,48.12,1.763,878.0506
01/01/2010 07:00,43,0.886,0.621,0.342,0.024,20.24,44.77,1.247,878.0986
01/01/2010 07:10,44,0.193,2.276,2.097,0.127,20.03,51.63,0.498,878.0092
01/01/2010 07:20,45,0,7.151,6.505,0.398,19.14,46.21,0.628,878.0584
01/01/2010 07:30,46,0,18.51,15.14,0.869,19.63,42.32,0.745,878.2383
01/01/2010 07:40,47,0,35.94,25.62,1.533,19.4,49.58,0.82,878.3864
01/01/2010 07:50,48,0,57.28,35.42,2.333,19.12,47.26,0.503,878.5
01/01/2010 08:00,49,0,79.04,43.44,3.239,19.18,49.34,1.233,878.55
01/01/2010 08:10,50,0,105.9,51.92,4.247,19.69,49.17,0.406,878.6801
01/01/2010 08:20,51,0,136.5,60.22,5.314,19.55,50.33,1.314,878.705
01/01/2010 08:30,52,0,167.9,67.17,6.493,19.72,52.07,1.93,878.7945
01/01/2010 08:40,53,0,195.2,72.24,7.669,19.76,53.2,1.311,878.9021
01/01/2010 08:50,54,0.038,230.2,79.06,8.89,19.98,51.56,1.537,879.213
01/01/2010 09:00,55,0.047,263.4,84.2,10.31,20.2,52.24,2.022,879.4734
01/01/2010 09:10,56,0,295.2,89.6,11.67,19.95,51.76,2.089,879.4421
01/01/2010 09:20,57,0.216,332.3,95.9,13.29,20.14,51.87,2.471,879.5316
01/01/2010 09:30,58,0.314,313.9,93.5,13.75,20.33,50.95,2.37,879.7532
01/01/2010 09:40,59,0.281,362.3,99.7,15.58,20.16,50.13,2.054,879.8501
01/01/2010 09:50,60,1.881,399,108,17.33,20.97,49.07,1.895,880.0067
01/01/2010 10:00,61,2.198,432.5,120.8,18.69,20.96,48.9,2.054,879.8548
01/01/2010 10:10,62,2.454,435.2,151.5,19.9,21.16,46.24,2.508,880.0251
