TOA5,,23644,CR1000.Std.16,CPU:ESTACION_CIE_ver36.CR1,24662,General,,,,
TIMESTAMP,RECORD,I_dir_Avg,I_glo_Avg,I_dif_Avg,I_uv_Avg,AirTC_Avg,RH,WS_ms_Avg,CS106_PB_Avg,
TS,,W/m2,,,,Deg C,%,meters/second,mbar,
,,Avg,Avg,Avg,Avg,Avg,Smp,Avg,Avg,
01/01/2011 00:00,1,0,0,0,0,19.6,21.82,1.918,876.0613,
01/01/2011 00:10,2,0,0,0,0.001,19.17,22.47,0.903,876.1016,
01/01/2011 00:20,3,0,0,0.018,0,18.92,21.76,1.72,876.0208,
01/01/2011 00:30,4,0.126,0,0,0.001,18.94,21.01,2.369,876.0361,
01/01/2011 00:40,5,0.139,0,0,0.002,18.66,20.26,2.679,875.9145,
01/01/2011 00:50,6,0.175,0,0,0.002,18.54,21.24,2.133,876.0694,
01/01/2011 01:00,7,0,0,0,0,17.54,19.64,2.563,876.1103,
01/01/2011 01:10,8,0.258,0,0.016,0,17.74,16.47,3.121,876.1024,
01/01/2011 01:20,9,0.354,0,0.009,0,17.79,18.79,2.936,876.1751,
01/01/2011 01:30,10,0.013,0.003,0.022,0,17.31,18.31,3.135,876.1927,
01/01/2011 01:40,11,0.487,0.093,0.253,0.001,17.84,17.97,2.885,876.1751,
01/01/2011 01:50,12,0.42,0.006,0.238,0,17.94,18.14,2.181,876.0947,
01/01/2011 02:00,13,0.406,0.001,0.304,0.002,18.22,19.85,1.596,876.0202,
01/01/2011 02:10,14,0.419,0.055,0.247,0.001,18.49,19.27,1.776,875.889,
01/01/2011 02:20,15,0.249,0,0.054,0,18.1,19.27,1.801,875.9054,
01/01/2011 02:30,16,0.054,0,0.059,0,18,18.86,1.103,875.6029,
01/01/2011 02:40,17,0.007,0,0,0,17.79,20.73,1.223,875.6755,
01/01/2011 02:50,18,0,0,0.007,0,17.43,20.9,1.624,875.571,
01/01/2011 03:00,19,0.098,0.019,0.188,0,17.29,18.76,2.288,875.4966,
01/01/2011 03:10,20,0.256,0.005,0.089,0.001,17.79,20.97,1.789,875.5367,
01/01/2011 03:20,21,0.236,0.021,0.049,0,17.62,20.46,2.615,875.3989,
01/01/2011 03:30,22,0,0,0,0,17.1,22.27,2.948,875.3001,
