TIMESTAMP,RECORD,I_glo_Avg,I_dir_Avg,I_dif_Calc,AirTC_Avg,RH,WS_ms_Avg,WindDir,CS106_PB_Avg,Rain_mm_Tot
01/01/2023 00:00,1,0,0.115,0.113618477,18.55,59.35,1.859,268.5,878.1676,-
01/01/2023 00:10,2,0,0.077,0.076438243,18.56,59.23,1.492,336.4,878.0631,-
01/01/2023 00:20,3,0,0.024,0.023898558,18.52,59.6,0.574,337.8,878.1268,-
01/01/2023 00:30,4,0,0.007,0.006980311,18.4,59.99,0.499,309.2,878.1543,-
01/01/2023 00:40,5,0,0.079,0.078758565,18.05,61.37,1.67,342,878.1045,-
01/01/2023 00:50,6,0,0.11,0.109454782,17.62,62.62,2.448,335.1,878.0134,-
01/01/2023 01:00,7,0,0.031,0.030736181,17.64,62.58,2.129,333.2,878.0399,-
01/01/2023 01:10,8,0,0.041,0.040437864,17.38,63.69,1.809,340.1,877.9683,-
01/01/2023 01:20,9,0,0.095,0.093047968,17.47,63.53,2.153,342.4,878.0222,-
01/01/2023 01:30,10,0,0.03,0.029129747,16.75,66.49,3.174,338.9,877.9422,-
01/01/2023 01:40,11,0,0.051,0.049007085,16.96,65.53,2.504,339.8,878.0319,-
01/01/2023 01:50,12,0,0.03,0.028477995,16.95,65.62,2.483,334.8,877.9079,-
01/01/2023 02:00,13,0,0.001,0.000936044,16.73,66.57,2.41,342.2,877.8691,-
01/01/2023 02:10,14,0,0.001,0.00092128,16.5,67.52,2.084,353.1,877.8901,-
01/01/2023 02:20,15,0,0.038,0.034390097,16.55,67.44,1.742,350.3,877.8287,-
01/01/2023 02:30,16,0,0.005,0.004436218,16.74,66.79,1.351,350.9,877.8346,-
01/01/2023 02:40,17,0,0.001,0.000868037,16.76,66.62,0.87,354.4,877.7996,-
01/01/2023 02:50,18,0,0.05,0.042370892,16.7,67.01,1.377,344.6,877.7155,-
01/01/2023 03:00,19,0,0.009,0.007428841,16.3,68.48,1.574,336.1,877.6544,-
01/01/2023 03:10,20,0,0.109,0.087429476,16.09,69.23,2.16,339,877.6117,-
01/01/2023 03:20,21,0,0.052,0.040429879,16.44,67.65,1.756,339.9,877.55,-
01/01/2023 03:30,22,0,0.003,0.002254952,16.26,68.62,1.292,333.6,877.6005,-
01/01/2023 03:40,23,0,0.041,0.029709169,16.66,66.48,0.921,276.3,877.5299,-
01/01/2023 03:50,24,0,0.036,0.025071781,16.82,66.18,1.163,314.3,877.5541,-
01/01/2023 04:00,25,0,0.055,0.036694785,16.45,67.57,1.611,327.6,877.5131,-
01/01/2023 04:10,26,0,0.119,0.075789697,16.37,67.7,1.879,333.6,877.5867,-
01/01/2023 04:20,27,0,0.046,0.027858838,16.3,68.12,1.951,337.4,877.4963,-
01/01/2023 04:30,28,0,0.02,0.011469071,16.2,68.74,1.935,335.4,877.5215,-
01/01/2023 04:40,29,0,0,0,15.68,70.98,1.846,344.6,877.563,-
01/01/2023 04:50,30,0,0,0,15.34,72.31,1.764,340.7,877.6191,-
01/01/2023 05:00,31,0,0.124,0.058538082,15.4,71.94,2.254,342.3,877.7264,-
01/01/2023 05:10,32,0,0.173,0.075581559,15.6,71.33,2.11,3.823,877.7908,-
01/01/2023 05:20,33,0,0,0,15.3,73.17,1.328,354.5,877.8327,-
01/01/2023 05:30,34,0,0.024,0.008755098,15.1,73.66,1.816,349,877.9053,-
01/01/2023 05:40,35,0,0.002,0.00065607,14.96,74.08,1.715,339.4,877.9873,-
01/01/2023 05:50,36,0,0,0,14.74,75.22,1.479,35.77,878.0942,-
01/01/2023 06:00,37,0,0.007,0.001774028,14.52,76.18,0.995,346.8,878.2253,-
01/01/2023 06:10,38,0,0.089,0.019200264,14.48,76.24,2.339,344.6,878.3309,-
01/01/2023 06:20,39,0,0.248,0.044110309,14.59,75.53,2.584,341.3,878.4381,-
01/01/2023 06:30,40,0,0.178,0.024901699,14.79,74.71,2.766,332.7,878.5759,-
01/01/2023 06:40,41,0,0.276,0.028125695,14.97,73.9,2.826,350.3,878.6101,-
01/01/2023 06:50,42,0,0.001,0.000064,14.66,75.2,2.461,340.6,878.814,-
01/01/2023 07:00,43,0,0.005,0.000130661,14.53,75.6,2.401,344.3,878.9121,-
01/01/2023 07:10,44,0,0.004,0.821953986,14.33,76.49,2.733,346,879.0594,-
01/01/2023 07:20,45,0,0.239,4.680318539,14.34,76.42,3.023,330.4,879.1656,-
01/01/2023 07:30,46,10.18,8.52,9.447998988,14.95,74.15,2.669,341.5,879.2587,-
01/01/2023 07:40,47,43.03,176.8,21.36307081,15.09,73.55,2.548,340.5,879.3318,-
01/01/2023 07:50,48,84.4,370.4,25.61331677,15.33,72.9,1.559,347.5,879.4866,-
01/01/2023 08:00,49,118.6,445.2,32.08459244,15.35,73.49,1.925,336.2,879.5668,-
01/01/2023 08:10,50,141.1,504.7,25.35382733,15.81,71.92,2.335,328.9,879.6554,-
01/01/2023 08:20,51,148.2,554.9,1.891441376,16.7,69.09,1.925,338.6,879.7161,-
01/01/2023 08:30,52,156.2,593.3,0,18,64.23,1.546,329.8,879.8276,-
01/01/2023 08:40,53,176.6,627.3,0,19.04,60.69,0.787,331.9,879.9052,-
01/01/2023 08:50,54,202.3,656.6,0,20.26,56.22,0.387,89.2,879.952,-
01/01/2023 09:00,55,236.3,679.6,0,21.06,54.21,0.363,146.9,880.0828,-
01/01/2023 09:10,56,274.2,697.3,0,21.78,53.54,0.924,168.1,880.1728,-
01/01/2023 09:20,57,323.1,714.5,0.23990823,21.46,54.46,1.337,170.2,880.3997,-
01/01/2023 09:30,58,379.7,737.9,25.7183092,21.61,51.75,1.483,183,880.3148,-
01/01/2023 09:40,59,431.8,755.9,49.00658909,21.97,51.14,0.956,84.6,880.4552,-
01/01/2023 09:50,60,479.1,771.5,68.74284123,23.03,49.04,0.579,136.3,880.5471,-
01/01/2023 10:00,61,523.3,784.2,87.18309608,23.64,48.63,0.505,150.4,880.5135,-
01/01/2023 10:10,62,566.5,802,102.0900535,23.84,48.78,0.759,186.6,880.5805,-
01/01/2023 10:20,63,602.4,815,112.8647107,23.95,48.01,1.221,149.6,880.6124,-
01/01/2023 10:30,64,629.5,814,124.1161618,23.61,48.43,1.708,160.3,880.4036,-
01/01/2023 10:40,65,641.8,789.7,136.6684642,23.84,47.4,1.497,136.4,880.3318,-
01/01/2023 10:50,66,677.8,837,127.9104382,24.01,46.44,1.936,139,880.3265,-
01/01/2023 11:00,67,702.3,860,123.6814431,24.03,46.44,2.336,143.3,880.3137,-
01/01/2023 11:10,68,717.8,867,122.0615276,24.39,45.73,1.846,193.4,880.2043,-
01/01/2023 11:20,69,734.1,871,124.494504,24.31,46.5,2.213,177,880.1639,-
01/01/2023 11:30,70,750.5,882,123.3241967,24.76,45.57,1.79,180.8,880.0938,-
01/01/2023 11:40,71,763.4,885,125.5968778,24.86,45.35,2.157,229.6,879.9238,-
01/01/2023 11:50,72,773.3,887,126.9726551,25.41,43.98,1.169,119.5,879.7819,-
01/01/2023 12:00,73,775.1,874,132.6889942,25.95,42.35,1.387,144.7,879.6586,-
