SiteID,2226728, Site Timezone,-6,Data Timezone,-6,Longitude,-99.22537,Latitude,18.85254
Year,Month,Day,Hour,wind speed at 50m (m/s),wind direction at 50m (deg),air temperature at 50m (C),air pressure at 50m (Pa)
2024,1,1,0,1.297,313.6666666666667,17.061666666666667,87996.425
2024,1,1,1,2.3343333333333334,277.0036666666667,15.551666666666668,87969.34
2024,1,1,2,2.1606666666666667,328.5833333333333,15.44,87932.34833333333
2024,1,1,3,1.0145,196.20100000000002,15.493333333333334,87942.55166666667
2024,1,1,4,2.3104999999999998,331.25,14.32,87956.48666666666
2024,1,1,5,2.1151666666666666,273.9635,14.061666666666667,87978.94166666667
2024,1,1,6,1.664,340.45,13.538333333333334,88018.35166666665
2024,1,1,7,1.2791666666666666,323.65000000000003,13.781666666666666,88083.62999999999
2024,1,1,8,0.7013333333333334,228.73950000000002,16.573333333333334,88168.21333333333
2024,1,1,9,0.7319999999999999,174.14,21.155,88214.01166666666
2024,1,1,10,1.8695000000000002,188.03333333333333,21.985,88212.82666666666
2024,1,1,11,1.7309999999999999,163.78333333333333,23.334999999999997,88167.22666666665
2024,1,1,12,1.5511666666666668,140.18333333333334,24.673333333333332,88071.94833333333
2024,1,1,13,1.7638333333333334,156.13333333333333,25.808333333333334,87962.33833333332
2024,1,1,14,1.2825,202.0,26.986666666666665,87851.00666666667
2024,1,1,15,1.1008333333333333,172.48166666666668,27.75,87784.61833333335
2024,1,1,16,1.2603333333333333,134.374,28.218333333333334,87747.01
2024,1,1,17,1.2563333333333333,180.05666666666664,27.865,87756.71166666667
2024,1,1,18,1.2625,176.58333333333334,24.623333333333335,87768.275
2024,1,1,19,2.3088333333333333,271.8105,20.878333333333334,87809.83666666667
2024,1,1,20,1.6278333333333332,222.57233333333332,19.391666666666666,87875.90166666667
2024,1,1,21,1.6435000000000002,327.21666666666664,18.761666666666667,87909.945
2024,1,1,22,2.1971666666666665,283.675,18.02,87923.015
2024,1,1,23,1.7293333333333336,316.73333333333335,17.12333333333333,87911.58333333333
2024,1,2,0,2.0693333333333332,318.73333333333335,17.355,87931.69833333333
2024,1,2,1,2.608,333.31666666666666,15.811666666666667,87933.065
2024,1,2,2,1.7703333333333333,224.46733333333336,15.395000000000001,87906.94333333334
2024,1,2,3,1.4516666666666669,327.93333333333334,15.236666666666666,87903.44
2024,1,2,4,2.3381666666666665,328.1333333333333,14.981666666666667,87928.86666666667
2024,1,2,5,2.0595,225.51216666666664,14.443333333333333,87965.94166666668
2024,1,2,6,1.7561666666666669,277.64183333333335,14.223333333333334,88006.38666666667
2024,1,2,7,1.928,223.58466666666666,14.578333333333333,88040.455
2024,1,2,8,0.8108333333333334,220.03333333333333,17.846666666666668,88109.76999999999
2024,1,2,9,1.201,157.54999999999998,21.541666666666668,88162.25333333333
